Title, link, After exclusion and inclusion criteria, Present in Paper
"Evolution, key technology, prospects, and applications of industrial network architecture",https://doi.org/10.13374/j.issn2095-9389.2022.08.01.003,,
"The IFMIF-DONES remote handling control system: Experimental setup for OPC UA integration",https://doi.org/10.1016/j.fusengdes.2023.113776,,
"Understanding new approaches to professional learning community practice and secondary school teacher motivation",https://doi.org/10.11591/ijere.v12i2.23644,,
"Current status of the Tohoku microbeam system at Tohoku University and other facilities",https://doi.org/10.1016/j.nimb.2023.03.023,,
"Services interfaces for interoperability of signaling computer interlocking on borders",https://doi.org/10.11591/ijece.v13i3.pp2640-2651,,
"Decentralized proportional-integral controller based on dynamic decoupling technique using Beckhoff TwinCAT-3.1",https://doi.org/10.11591/ijece.v13i3.pp2721-2733,,
"EXPERIMENTAL STUDY ON ENERGY CONSUMPTION OF TEMPERATURE CONTROL BY USING ON-OFF INTELLIGENT FUNCTION",https://doi.org/10.24507/icicelb.14.05.533,,
"Event-Based Automaton Model for identification of discrete-event systems for fault detection",https://doi.org/10.1016/j.conengprac.2023.105474,X,
"Polygenic Risk of Prediabetes, Undiagnosed Diabetes, and Incident Type 2 Diabetes Stratified by Diabetes Risk Factors",https://doi.org/10.1210/jendso/bvad020,,
"Beam tests of a beam position monitor for ISOL operation",https://doi.org/10.1088/1748-0221/18/04/T04004,,
"Design of Digital-Twin Human-Machine Interface Sensor with Intelligent Finger Gesture Recognition",https://doi.org/10.3390/s23073509,,
"Standardizing Research Training: a Pilot Curriculum Within a Hematology/Oncology Fellowship Program",https://doi.org/10.1007/s13187-022-02181-9,,
"Process monitoring of devil machine electric engine in cotton primary processing enterprises",https://doi.org/10.1063/5.0137693,,
"Fresh Approaches for Structured Text Programmable Logic Controllers Programs Verification",https://doi.org/10.3390/pr11030687,,
"A Survey on Programmable Logic Controller Vulnerabilities, Attacks, Detections, and Forensics",https://doi.org/10.3390/pr11030918,,
"Research on auxiliary training system of oral English pronunciation based on data extraction",https://doi.org/10.1007/s42452-023-05306-x,,
"SPaT/MAP V2X communication between traffic light and vehicles and a realization with digital twin",https://doi.org/10.1016/j.compeleceng.2022.108560,,
"Automation and electrical control of a mortising machine with 12 synchronous perforations in the manufacture of stairs",https://doi.org/10.11591/ijeecs.v29.i3.pp1364-1373,,
"Precision engineering designed phospholipid-tagged pamidronate complex functionalized SNEDDS for the treatment of postmenopausal osteoporosis",https://doi.org/10.1007/s13346-022-01259-7,,
"PLC and SCADA based Real Time Monitoring and Train Control System for the Metro Railways Infrastructure",https://doi.org/10.1007/s11277-022-10109-1,,
"Substantiating and Implementing Concept of Digital Twins for Virtual Commissioning of Industrial Mechatronic Complexes Exemplified by Rolling Mill Coilers",https://doi.org/10.3390/machines11020276,,
"Introducing Digitalization and Automation for Improvements in Fracturing Operational Efficiency and Safety",https://doi.org/10.2118/213098-MS,,
"Design of an Automation System for the Production of Soil-Cement Blocks",https://doi.org/10.1109/CCWC57344.2023.10099085,,
"Design of Monitoring System for Wind-Solar Hybrid Power Supply System in Laboratory",https://doi.org/10.1109/EEBDA56825.2023.10090847,,
"Critical Success Factors of Operational Excellence in Software Quality Assurance: Best Practices for Integrated Change Control Management",https://doi.org/10.1109/CSPA57446.2023.10087552,,
"Design of an Automated Dosing and Mixing System for the Production of Biodegradable Biomass Based on Sweet Potato Starch and Sugar Cane Fiber",https://doi.org/10.1109/ICRCA57894.2023.10087874,,
"Integration of Programmable Logic Controller with LabVIEW for Acquiring Data, Monitoring and Controlling",https://doi.org/10.1109/ICCMC56507.2023.10083850,,
"Enhancements of the Fast Interlock System for Wendelstein 7-X operational phase OP2.1",https://doi.org/10.1109/TNS.2023.3263222,,
"Study of Data Acquisition Strategies for the Underlying Equipment of Space Environment Ground Simulators",https://doi.org/10.1007/978-981-99-0451-8_107,,
"Design of Intelligent Filling and Labeling Integrated Device",https://doi.org/10.1007/978-981-99-0408-2_55,,
"Design of Plc-based Pipe Pile Residual Slurry Recovery Equipment Control System",https://doi.org/10.1088/1742-6596/2459/1/012086,,
"SCADA Radio Blackbox Reverse Engineering",https://doi.org/10.1007/978-3-031-30122-3_18,,
"Design of three-dimensional warehouse access material control system",https://doi.org/10.1109/ICPECA56706.2023.10075721,,
"THE EFFECTIVE IMPLEMENTATION OF CO-MANAGED INVENTORY (CMI)",https://doi.org/10.4324/9780429271144-7,,
"Development and Deployment Measures in PLC-Based Pot Control System at Low Amperage Aluminium Reduction Cell",https://doi.org/10.1007/978-3-031-22532-1_17,,
"Asia Pacific Computer Systems Conference, APCS 2021",https://www.scopus.com/record/display.uri?eid=2-s2.0-85151091776&origin=inward,,
"Design of PLC Training Platform Based on Digital Twin",https://doi.org/10.1007/978-981-19-7904-0_14,X,X
"Evolution of Power Generation of Offshore Wellhead Platform to 100% Solar Power System Design",https://doi.org/10.2523/IPTC-23107-EA,,
"Improvement of Safety with Ai Applied on a Rig Continuous Circulation System",https://doi.org/10.2523/IPTC-23101-EA,,
"Exploring Intervention Sustainment and Intervention Spread Following a Randomized Clinical Trial of the MOSAIC Program",https://doi.org/10.1007/s12310-022-09555-w,,
"6th World Conference on Smart Trends in Systems, Security and Sustainability, WS4 2022",https://www.scopus.com/record/display.uri?eid=2-s2.0-85149979856&origin=inward,,
"Design of an Automated Stereoscopic Warehouse Device Applied in Experimental Teaching",https://doi.org/10.1007/978-981-19-9338-1_83,,
"Design and Virtualization of an Automated System with Hardware in the Loop for the Virtualized Water Bottling Process in a Unity Environment",https://doi.org/10.1007/978-3-031-28076-4_41,,
"Realization of optimization design of electromechanical integration PLC program system based on 3D model",https://doi.org/10.1515/nleng-2022-0252,,
"Modular Controller Based Intelligent System for Smart Autocleaning and Effective Usage of Utensils",https://doi.org/10.1109/IDCIoT56793.2023.10053549,,
"Strengthen the Security of the Industrial Control System using SDN Technology",https://www.scopus.com/record/display.uri?eid=2-s2.0-85149471738&origin=inward,,
"Design of Elevated Silkworm Frame Leaf Feeding System",https://doi.org/10.1007/978-3-031-23944-1_56,,
"Professional Learning Communities in Physical Education: Preparing Teachers to Thrive",https://doi.org/10.1080/07303084.2022.2136317,,
"Optimization of the Conveyor Line System Using Computer Simulation on the Example of a Modern Warehouse",https://doi.org/10.12913/22998624/159103,,
"Design of a Model Based Predictive Control (MPC) Strategy for a Desalination Plant in a Hardware in the Loop (HIL) Environment",https://doi.org/10.1007/978-3-031-24971-6_21,,
"Automatic Control System Based on Industry 4.0, PLC, and SCADA",https://doi.org/10.1007/978-981-19-7660-5_16,,
"6th World Conference on Smart Trends in Systems, Security and Sustainability, WS4 2022",https://www.scopus.com/record/display.uri?eid=2-s2.0-85147989697&origin=inward,,
"Mechanical Design of a system for transplanter based on PLC",https://doi.org/10.1088/1742-6596/2419/1/012008,,
"‘More than Marking and Moderation’: A Self-Study of Teacher Educator Learning through Engaging with Graduate Teaching Performance Assessment",https://doi.org/10.1080/17425964.2022.2164761,,
"Aye: A Trusted Forensic Method for Firmware Tampering Attacks",https://doi.org/10.3390/sym15010145,,
"Design and Experiment of Online Detection System for Water Content of Fresh Tea Leaves after Harvesting Based on Near Infra-Red Spectroscopy",https://doi.org/10.3390/s23020666,,
"Development of motion control software function library for electromechanical equipment",https://doi.org/10.37188/OPE.20233101.0057,,
"Transformation of GRAFCET into GAL for verification purposes based on a detailed meta-model",https://doi.org/10.1515/auto-2022-0094,,
"Smart speed control of BLDC motor using programmable logic controller",https://doi.org/10.15199/48.2023.01.09,,
"Software Implementation and Benchmarking of TinyJAMBU on Programmable Logic Controllers",https://doi.org/10.1007/978-3-031-22375-4_73,,
"Plan and Running of a Program Logic Regulator by Using PIC18F4580",https://doi.org/10.1007/978-981-16-9523-0_60,,
"Industrial Automation Using ATmega328p-Based Programmable Logic Controller",https://doi.org/10.1007/978-981-19-4975-3_2,,
"Modeling cryptographic algorithms validation and developing block ciphers with electronic code book for a control system at nuclear power plants",https://doi.org/10.1016/j.net.2022.07.026,,
"Remote Learning: Implementing IIoT and Industry 4.0 Technologies Using PLCs",https://doi.org/10.1007/978-3-031-17091-1_29,,
"Design and implementation of superconducting cavity coupler RF conditioning platform control system for CSNS-II",https://doi.org/10.1016/j.nima.2022.167512,,
"A DT-Based System for Predicting Process Behavior",https://doi.org/10.1007/978-3-031-16281-7_24,,
"Real Time Control System for Metro Railways Using PLC &amp; SCADA",https://doi.org/10.32604/iasc.2023.028163,,
"Professional learning community efforts in building scientific literacy skills of Islamic primary school teachers",https://doi.org/10.1063/5.0130289,,
"Rational designing of peptide-ligand conjugates-based immunotherapy for the treatment of complicated malaria",https://doi.org/10.1016/j.lfs.2022.121121,,
"Robotic Center for Plasma–Powder Surfacing of Shafts",https://doi.org/10.1134/S0036029522120229,,
"Controller Design Considering Operation Characteristics of High-Speed Train Hatch System",https://doi.org/10.5370/KIEE.2022.71.12.1923,,
